date,max_temp,min_temp
2026-06-24,16.4,11.2
2026-06-25,15.8,12.8
2026-06-26,16.9,12.9
2026-06-27,18.4,13.1
2026-06-28,14.9,11.3
2026-06-29,14.3,10.1
2026-06-30,15.7,11.4
