date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T10:00,13.8,0
2026-06-25,2026-06-25T11:00,13.0,0
2026-06-25,2026-06-25T11:30,13.3,0
2026-06-25,2026-06-25T11:45,13.3,0
2026-06-25,2026-06-25T16:00,13.6,56.5
2026-06-25,2026-06-25T16:45,13.2,55.8
2026-06-26,2026-06-26T04:15,13.7,56.7
